id,price,year,manufacturer,model,condition,cylinders,odometer,type,paint_color,state,lat,long,posting_date,fuel_id,transmission_id
7316814989,39590,2021,chevrolet,silverado 1500 crew,good,8 cylinders,19160,pickup,red,al,"32,59","-85,48",2021-05-04T12:31:25-0500,1,1
7316285779,35000,2020,toyota,tacoma,excellent,6 cylinders,43000,truck,grey,al,"32,6","-85,44",2021-05-03T12:12:59-0500,1,2
7315270785,27990,2019,nissan,frontier crew cab pro-4x,good,6 cylinders,37332,pickup,silver,al,"32,59","-85,48",2021-05-01T09:11:35-0500,1,1
7314910156,34590,2019,ford,f150 super cab xl pickup 4d,good,6 cylinders,20856,pickup,white,al,"32,59","-85,48",2021-04-30T12:51:31-0500,1,1
7313387888,28590,2019,ram,1500 quad cab express pickup,good,6 cylinders,30047,pickup,white,al,"32,59","-85,48",2021-04-27T11:51:04-0500,3,1
7313337060,25990,2020,ram,1500 classic regular cab,good,8 cylinders,12302,pickup,white,al,"32,59","-85,48",2021-04-27T10:31:18-0500,1,1
7313319521,34990,2019,ford,mustang gt premium,good,8 cylinders,18650,other,black,al,"32,59","-85,48",2021-04-27T10:01:24-0500,1,1
7308779686,36590,2020,gmc,sierra 1500 limited double,good,8 cylinders,14222,pickup,blue,al,"32,59","-85,48",2021-04-18T11:21:35-0500,1,1
7308730136,40590,2020,ford,f250 super duty regular cab,good,8 cylinders,9313,pickup,white,al,"32,59","-85,48",2021-04-18T09:50:48-0500,3,1
7308365829,33990,2019,jeep,wrangler unlimited willys,good,6 cylinders,34636,other,white,al,"32,59","-85,48",2021-04-17T13:11:25-0500,1,1
7308216849,39590,2019,jeep,wrangler unlimited all new,good,6 cylinders,21893,SUV,silver,al,"32,59","-85,48",2021-04-17T09:21:10-0500,1,1
7307218858,28590,2019,gmc,acadia sle-2 sport utility,good,6 cylinders,20736,SUV,white,al,"32,59","-85,48",2021-04-15T11:00:40-0500,1,1
7305672709,0,2019,chevrolet,express cargo van,like new,6 cylinders,68472,van,white,al,"31,43","-85,62",2021-04-12T11:20:35-0500,1,2
7305672266,0,2020,chevrolet,express cargo van,like new,6 cylinders,69125,van,white,al,"31,43","-85,62",2021-04-12T11:20:00-0500,1,2
7305672252,0,2019,chevrolet,express cargo van,like new,6 cylinders,66555,van,white,al,"31,43","-85,62",2021-04-12T11:19:58-0500,1,2
7305666455,38990,2021,infiniti,qx60 luxe sport utility,good,6 cylinders,5279,other,black,al,"32,59","-85,48",2021-04-12T11:11:29-0500,1,1
7305149985,39990,2021,acura,mdx sh-awd sport utility,good,6 cylinders,1237,other,white,al,"32,59","-85,48",2021-04-11T10:11:13-0500,1,1
7304685581,32990,2020,jeep,wrangler sport suv 2d,good,6 cylinders,1423,SUV,yellow,al,"32,59","-85,48",2021-04-10T10:31:27-0500,3,1
7303661350,20590,2019,chrysler,300 limited sedan 4d,good,6 cylinders,71021,sedan,black,al,"32,59","-85,48",2021-04-08T10:41:10-0500,1,1
7303130875,36590,2021,gmc,acadia denali sport utility,good,6 cylinders,33026,SUV,black,al,"32,59","-85,48",2021-04-07T10:31:15-0500,1,1
7303065930,30990,2021,gmc,acadia slt sport utility 4d,good,6 cylinders,35200,SUV,white,al,"32,59","-85,48",2021-04-07T08:41:09-0500,1,1
7301673626,29590,2019,lincoln,continental select sedan,good,6 cylinders,33047,sedan,white,al,"32,59","-85,48",2021-04-04T10:51:15-0500,3,2
7301647209,27590,2019,infiniti,qx60 3.5 sport utility,good,6 cylinders,41119,SUV,blue,al,"32,59","-85,48",2021-04-04T09:41:32-0500,1,2
7316788498,39590,2021,chevrolet,silverado 1500 crew,good,8 cylinders,19160,pickup,red,al,"33,52","-86,79",2021-05-04T11:51:23-0500,1,1
7316237340,0,2020,chevrolet,silverado 1500,excellent,8 cylinders,25127,truck,red,al,"33,61","-85,8",2021-05-03T11:00:41-0500,1,2
7315472435,39590,2021,ford,mustang gt premium coupe 2d,good,8 cylinders,1419,coupe,white,al,"33,52","-86,79",2021-05-01T15:00:57-0500,1,1
7315345469,50000,2020,toyota,tundra,like new,8 cylinders,20010,truck,white,al,"33,35","-86,77",2021-05-01T11:26:30-0500,1,2
7314956487,72900,2021,chevrolet,tahoe,good,8 cylinders,19129,SUV,grey,al,"33,77","-86,48",2021-04-30T14:07:10-0500,1,2
7314956329,17000,2020,chevrolet,trax,good,4 cylinders,14898,SUV,grey,al,"33,77","-86,48",2021-04-30T14:06:56-0500,1,2
7314885567,34590,2019,ford,f150 super cab xl pickup 4d,good,6 cylinders,20856,pickup,white,al,"33,52","-86,79",2021-04-30T12:11:13-0500,1,1
